Name: Chen Yuan
Student ID: 117010038
Assignment 4, Heat-Distribution Simulation, MPI implementation.
processors size runtime

1 50 0.038378
2 50 0.031368
3 50 0.025205
4 50 0.035080
5 50 0.036082
6 50 0.151650
7 50 0.168207
8 50 0.107056
9 50 0.082213
10 50 0.100907
11 50 0.185538
12 50 0.125113
13 50 0.154429
14 50 0.259883
15 50 0.152621
16 50 0.193261
1 200 0.328991
2 200 0.191594
3 200 0.145964
4 200 0.127901
5 200 0.125214
6 200 0.261024
7 200 0.180653
8 200 0.177359
9 200 0.166798
10 200 0.422261
11 200 0.275042
12 200 0.303424
13 200 0.218448
14 200 0.314265
15 200 0.222248
16 200 0.320401
1 800 4.359669
2 800 2.619906
3 800 1.694630
4 800 1.462771
5 800 1.110327
6 800 1.139642
7 800 0.970401
8 800 1.012685
9 800 0.811603
10 800 0.744790
11 800 0.809297
12 800 0.677425
13 800 0.691666
14 800 0.597605
15 800 0.720637
16 800 0.750036
1 2000 28.559381
2 2000 14.802213
3 2000 10.687443
4 2000 7.809803
5 2000 6.136833
6 2000 5.373498
7 2000 5.345913
8 2000 4.777205
9 2000 4.794101
10 2000 3.665131
11 2000 3.605287
12 2000 3.155912
13 2000 3.135354
14 2000 2.785230
15 2000 3.054066
16 2000 2.773009
