Name: Chen Yuan
Student ID: 117010038
Assignment 4, Heat-Distribution Simulation, MPI implementation.
processors size runtime

1 50 0.141335
2 50 0.183605
3 50 0.216739
4 50 0.184405
5 50 0.205369
6 50 0.208869
7 50 0.216660
8 50 0.252890
9 50 0.226845
10 50 0.273005
11 50 0.253270
12 50 0.277919
13 50 0.263352
14 50 0.305991
15 50 0.300359
16 50 0.387609
1 200 0.432304
2 200 0.295639
3 200 0.332272
4 200 0.294404
5 200 0.295652
6 200 0.450611
7 200 0.312253
8 200 0.272444
9 200 0.343017
10 200 0.269921
11 200 0.284163
12 200 0.432670
13 200 0.308107
14 200 0.313017
15 200 0.340687
16 200 0.358144
1 800 3.984218
