Name: Chen Yuan
Student ID: 117010038
Assignment 4, Heat-Distribution Simulation, MPI+OpenMP implementation.
threads processors size runtime

2 9 50 0.692320
3 9 50 0.651056
4 9 50 0.797670
5 9 50 0.686964
6 9 50 0.630566
7 9 50 0.629427
8 9 50 0.672448
9 9 50 0.700283
10 9 50 0.756084
11 9 50 0.629618
2 5 200 0.089289
3 5 200 0.076906
4 5 200 0.080002
5 5 200 0.098205
6 5 200 0.097485
7 5 200 0.098781
8 5 200 0.076656
9 5 200 0.100254
10 5 200 0.080628
11 5 200 0.091922s
2 14 800 1.472229
3 14 800 1.198945
4 14 800 1.265850
5 14 800 1.279274
6 14 800 1.179419
7 14 800 1.201625
8 14 800 1.150121
9 14 800 1.330529
10 14 800 1.267463
11 14 800 1.289128
2 14 2000 3.556283
3 14 2000 3.445166
4 14 2000 3.787171
5 14 2000 3.573506
6 14 2000 3.201386
7 14 2000 3.398438
8 14 2000 3.467469
9 14 2000 3.475696
10 14 2000 3.468727
11 14 2000 3.327067
