Name: Chen Yuan
Student ID: 117010038
Assignment 4, Heat-Distribution Simulation, OpenMP implementation.
threads size runtime

1 50 0.031552
2 50 0.019150
3 50 0.014881
4 50 0.018295
5 50 0.011678
6 50 0.095587
7 50 0.101368
8 50 0.115110
9 50 0.111809
10 50 0.117585
12 50 0.120994
12 50 0.134959
13 50 0.125718
14 50 0.128667
15 50 0.120299
16 50 0.126306
1 200 0.357263
2 200 0.201899
3 200 0.148325
4 200 0.132881
5 200 0.171667
6 200 0.246320
7 200 0.266229
8 200 0.256504
9 200 0.263809
10 200 0.249862
11 200 0.286369
11 200 0.286369
13 200 0.256342
14 200 0.221857
15 200 0.291448
16 200 0.308996
1 800 4.808320
2 800 2.520560
3 800 2.075093
4 800 2.088999
5 800 5.066599
6 800 2.214168
7 800 1.795281
8 800 1.777571
9 800 1.825082
10 800 1.661813
11 800 1.781720
12 800 1.891435
13 800 1.949271
14 800 1.986046
15 800 1.735821
16 800 1.813903
1 2000 36.333179
2 2000 17.876300
3 2000 13.231567
4 2000 10.053452
5 2000 14.087060
6 2000 10.770317
7 2000 12.941754
8 2000 9.654523
9 2000 9.727031
10 2000 7.744833
11 2000 8.187104
12 2000 8.322094
13 2000 7.821192
14 2000 7.784668
15 2000 6.984182
16 2000 7.443623
