Name: Chen Yuan
Student ID: 117010038
Assignment 4, Heat-Distribution Simulation, OpenMP implementation.
threads size runtime

1 50 0.024397
2 50 0.017181
3 50 0.015488
4 50 0.012784
5 50 0.011083
6 50 0.010739
7 50 0.011085
8 50 0.009532
9 50 0.010782
10 50 0.008955
11 50 0.009173
12 50 0.009281
13 50 0.010022
14 50 0.010898
15 50 0.011020
16 50 0.010635
1 200 0.281641
2 200 0.152669
3 200 0.105565
4 200 0.085618
5 200 0.068843
6 200 0.059528
7 200 0.054172
8 200 0.047291
9 200 0.045512
10 200 0.042611
11 200 0.039772
12 200 0.037188
13 200 0.035412
14 200 0.035904
15 200 0.033910
16 200 0.032637
1 800 3.795589
2 800 1.940715
3 800 1.354730
4 800 1.050135
5 800 0.847442
6 800 0.699875
7 800 0.610761
8 800 0.533923
9 800 0.485009
10 800 0.431327
11 800 0.412112
12 800 0.382403
13 800 0.338594
14 800 0.314518
15 800 0.316690
16 800 0.279096
1 2000 23.980835
2 2000 12.555302
3 2000 8.529043
4 2000 6.353079
5 2000 5.149472
6 2000 4.385579
7 2000 3.919841
8 2000 3.333350
9 2000 3.005876
10 2000 2.832249
11 2000 2.505817
12 2000 2.274381
13 2000 2.196625
14 2000 2.076738
15 2000 1.915717
16 2000 1.743682
