Name: Chen Yuan
Student ID: 117010038
Assignment 4, Heat-Distribution Simulation, Pthread implementation.
threads size runtime

1 50 0.037088
2 50 0.057906
3 50 0.059964
4 50 0.066005
5 50 0.065751
7 50 0.065791
8 50 0.069767
9 50 0.075736
9 50 0.027575
10 50 0.070241
11 50 0.074271
12 50 0.074137
13 50 0.076675
14 50 0.079918
15 50 0.082016
16 50 0.090935
1 200 0.421163
2 200 0.289574
3 200 0.273154
4 200 0.205096
5 200 0.199475
6 200 0.216607
7 200 0.210781
8 200 0.222791
9 200 0.209635
10 200 0.198356
11 200 0.203818
12 200 0.225455
13 200 0.201308
14 200 0.224313
15 200 0.220587
16 200 0.210094
1 800 11.399097
2 800 5.280006
3 800 3.931048
4 800 3.219393
5 800 2.904570
6 800 3.474570
7 800 3.123706
8 800 2.685245
9 800 3.082032
10 800 2.389020
11 800 2.905217
12 800 2.914292
13 800 2.742655
14 800 2.509794
14 800 2.734556
15 800 3.627174
1 2000 191.476504
2 2000 101.920781
3 2000 75.719140
4 2000 52.349929
5 2000 61.683257
6 2000 56.829230
7 2000 45.425430
8 2000 47.218091
9 2000 43.488691
10 2000 41.041544
11 2000 44.465073
12 2000 43.062081
13 2000 42.488110
14 2000 42.646029
15 2000 41.869154
16 2000 43.011275
