Name: Chen Yuan
Student ID: 117010038
Assignment 4, Heat-Distribution Simulation, Pthread implementation.
threads size runtime

1 50 0.025557
2 50 0.020733
3 50 0.031664
4 50 0.040343
5 50 0.043814
6 50 0.026190
7 50 0.025369
8 50 0.025208
9 50 0.027575
10 50 0.025318
11 50 0.037884
12 50 0.036826
13 50 0.039373
14 50 0.039407
15 50 0.038500
16 50 0.037585
1 200 0.340779
2 200 0.176042
3 200 0.204214
4 200 0.194540
5 200 0.093216
6 200 0.135734
7 200 0.124624
8 200 0.112209
9 200 0.112722
10 200 0.062128
11 200 0.094031
12 200 0.081126
13 200 0.112433
14 200 0.103287
15 200 0.109296
16 200 0.103656
1 800 10.206887
2 800 5.237697
3 800 3.684496
4 800 2.891002
5 800 2.304917
6 800 2.018648
7 800 1.737470
8 800 1.570743
9 800 1.566018
10 800 1.481451
11 800 1.339338
12 800 1.199868
13 800 1.138891
14 800 1.027999
15 800 0.980892
16 800 0.911604
1 2000 128.084530
2 2000 64.965859
3 2000 45.903809
4 2000 34.191545
5 2000 28.457156
6 2000 23.204602
7 2000 19.625342
8 2000 17.203664
9 2000 15.714109
10 2000 13.724631
11 2000 13.003978
12 2000 11.314184
13 2000 10.797513
14 2000 10.244553
15 2000 9.679338
16 2000 8.963937
